Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,13719,-,-,India,23.95,71.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2004,1,1,0,30,0,0,0,0,0,0,6,14.7416251121,1010.3538818359,59.3982322538,175.6072580287,1.0637226549,0,250.3426818848,4.1549806595,0,,,,,,,,,,,,,,
2004,1,1,1,30,0,0,0,0,0,0,7,14.1014736238,1010.4175415039,62.8701578526,170.4990843259,1.0724734159,0,251.8232421875,3.8538370132,0,,,,,,,,,,,,,,
2004,1,1,2,30,0,0,0,0,0,0,7,13.5672703065,1010.3021850586,65.748931367,156.8013151126,1.0907293711,0,251.9226379395,3.6554932594,0,,,,,,,,,,,,,,
2004,1,1,3,30,0,0,0,0,0,0,7,13.054087114,1010.2001342774,68.6674980095,143.1506285397,1.1041293286,0,250.816696167,3.3848600388,0,,,,,,,,,,,,,,
2004,1,1,4,30,0,0,0,0,0,0,7,12.5957849873,1010.6878662109,71.3291463455,129.6123570313,1.1117462555,0,247.7234802246,3.070915699,0,,,,,,,,,,,,,,
2004,1,1,5,30,0,0,0,0,0,0,-1,14.5140677728,1013.7654418945,32.5851459826,116.1916446574,1.1100010552,0,358.6438598633,2.301145792,0,,,,,,,,,,,,,,
2004,1,1,6,30,0,0,0,0,0,0,-2,14.1334846091,1014.189453125,32.7700689929,103.1101011834,1.1461721723,0,357.8138427734,2.0266287327,0,,,,,,,,,,,,,,
2004,1,1,7,30,0,0,0,1,0,1,-1,15.234160433,1015.0762329102,30.8436420599,90.4326057101,1.1840188292,0,352.9403991699,1.7687730789,0,,,,,,,,,,,,,,
2004,1,1,8,30,83,318,147,80,342,149,-2,18.7665425784,1016.0355834961,23.0847096164,78.3901331831,1.2411867916,0,348.1232299805,1.4357985258,0,,,,,,,,,,,,,,
2004,1,1,9,30,134,525,337,127,574,349,-3,22.3567655451,1016.7911376953,17.6813623621,67.3193466653,1.3178319573,0,340.4124145508,1.0878001451,0,,,,,,,,,,,,,,
2004,1,1,10,30,167,627,502,154,692,523,-1,26.5369800495,1016.5739746094,15.8886609642,57.800597125,1.385420644,0,319.9247436523,1.724613905,0,,,,,,,,,,,,,,
2004,1,1,11,30,201,684,634,169,751,645,1,28.4518488929,1015.6535644531,17.2112194636,50.7258427799,1.4339741375,0,313.7969360352,2.4846558571,0,,,,,,,,,,,,,,
2004,1,1,12,30,247,570,635,175,775,702,1,29.130882792,1014.6859741211,17.1395004142,47.2138271415,1.4713509566,0,314.8088378906,2.6579334736,0,,,,,,,,,,,,,,
2004,1,1,13,30,227,615,639,174,769,688,1,29.1631236126,1013.3195800781,17.172434191,48.0551684396,1.4886261738,0,317.4643554688,2.6767933369,0,,,,,,,,,,,,,,
