Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,13719,-,-,India,23.95,71.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2000,1,1,0,30,0,0,0,0,0,0,-3,16.68681858,1009.309814,24.77444661,175.6089068,0.822868198,0,355.9130249,3.736798048,0,,,,,,,,,,,,,,
2000,1,1,1,30,0,0,0,0,0,0,-3,15.9417887,1008.910156,25.81725984,170.4984323,0.812899109,0,0.221199036,3.702789068,0,,,,,,,,,,,,,,
2000,1,1,2,30,0,0,0,0,0,0,-3,15.27378364,1008.644226,26.84903711,156.8006524,0.798504359,0,5.518348694,3.614094734,0,,,,,,,,,,,,,,
2000,1,1,3,30,0,0,0,0,0,0,-3,14.65853875,1008.795288,27.80578118,143.1500899,0.775863682,0,10.75902557,3.487339973,0,,,,,,,,,,,,,,
2000,1,1,4,30,0,0,0,0,0,0,-3,14.0912956,1008.798096,28.66753202,129.6119822,0.751663716,0,16.45446014,3.319649696,0,,,,,,,,,,,,,,
2000,1,1,5,30,0,0,0,0,0,0,-8,14.2100168,1009.659302,20.04808878,116.1913883,0.532704302,0,55.6923027,2.417165041,0,,,,,,,,,,,,,,
2000,1,1,6,30,0,0,0,0,0,0,-8,13.93318332,1010.128601,20.38681958,103.1100687,0.548926319,0,59.86386108,2.547561407,0,,,,,,,,,,,,,,
2000,1,1,7,30,0,0,0,1,0,1,-8,15.15968733,1010.88562,19.00714592,90.43286582,0.567215481,0,65.0447464,2.647270203,0,,,,,,,,,,,,,,
2000,1,1,8,30,83,293,142,81,376,156,-7,18.97276304,1011.766479,15.55540196,78.39071359,0.589343617,0,70.92311859,2.350661516,0,,,,,,,,,,,,,,
2000,1,1,9,30,135,516,334,128,611,363,-7,22.77189908,1012.136292,13.07313467,67.32034869,0.61508156,0,73.26663208,1.614910364,0,,,,,,,,,,,,,,
2000,1,1,10,30,174,591,489,154,728,543,-6,27.64225426,1011.939026,10.19172642,57.80212068,0.644599475,0,87.81064606,1.43291676,0,,,,,,,,,,,,,,
2000,1,1,11,30,193,657,609,169,787,668,-6,31.48401488,1011.350464,8.25100828,50.72795748,0.678854549,0,114.2776642,1.453877807,0,,,,,,,,,,,,,,
2000,1,1,12,30,210,660,659,175,809,725,-6,33.12107789,1010.03833,7.716580465,47.21647481,0.715384601,0,134.5367432,1.189830661,0,,,,,,,,,,,,,,
2000,1,1,13,30,194,704,665,173,802,710,-5,33.58683103,1008.956482,7.786033459,48.05810851,0.750638743,0,151.7352753,0.992080748,0,,,,,,,,,,,,,,
2000,1,1,14,30,189,641,575,164,765,624,-5,33.15462683,1008.422546,8.263372749,53.04554997,0.781633844,0,159.0085297,0.752565444,0,,,,,,,,,,,,,,
