Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,13719,-,-,India,23.95,71.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2008,1,2,0,30,0,0,0,0,0,0,-4,11.5574393829,1012.9766845703,32.7311685485,175.5749805205,0.4901604201,0,6.6351242065,4.0580544472,0,,,,,,,,,,,,,,
2008,1,2,1,30,0,0,0,0,0,0,-4,10.7642429604,1012.8026123047,34.1767589472,170.5237176533,0.4996587127,0,8.5397109985,4.015103817,0,,,,,,,,,,,,,,
2008,1,2,2,30,0,0,0,0,0,0,-4,10.0275607506,1012.5484008789,36.3090318824,156.8260680404,0.5095677558,0,13.3743057251,3.9193043709,0,,,,,,,,,,,,,,
2008,1,2,3,30,0,0,0,0,0,0,-3,9.3425237671,1012.5446166992,38.9812579026,143.174281,0.5105959659,0,17.8548278809,3.810697794,0,,,,,,,,,,,,,,
2008,1,2,4,30,0,0,0,0,0,0,-3,8.7409253187,1012.8077392578,41.8834480291,129.6345044355,0.512556175,0,18.6241836548,3.7403957844,0,,,,,,,,,,,,,,
2008,1,2,5,30,0,0,0,0,0,0,-3,8.2245524375,1013.6109008789,44.5607924028,116.2736833382,0.5220240329,0,16.6876068115,3.7355947495,0,,,,,,,,,,,,,,
2008,1,2,6,30,0,0,0,0,0,0,-2,7.8161222085,1015.0284423828,46.9463302568,103.1834581266,0.5451279065,0,16.0154876709,3.7551450729,0,,,,,,,,,,,,,,
2008,1,2,7,30,0,0,0,1,0,1,-2,8.900372599,1016.0410766602,46.2524005192,90.4946193521,0.5633568988,0,19.1996688843,3.7900018692,0,,,,,,,,,,,,,,
2008,1,2,8,30,86,260,139,85,333,152,-1,11.4621343812,1016.7422485352,39.2126592297,78.437732609,0.5785580805,0,21.5940551758,3.4321224689,0,,,,,,,,,,,,,,
2008,1,2,9,30,143,487,331,138,570,358,0,14.9147103948,1017.1245727539,34.2271207301,67.3472012207,0.5972738496,0,19.1909942627,3.1196041107,0,,,,,,,,,,,,,,
