Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,13719,-,-,India,23.95,71.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2001,1,1,0,30,0,0,0,0,0,0,-11,16.314305724471467,1015.6248779296875,13.382020481653592,175.63943588738945,0.4231373881553143,0.0,17.322425842285156,3.065861463546753,0
2001,1,1,1,30,0,0,0,0,0,0,-11,15.629899372847092,1015.3114624023438,14.053933026174398,170.47422699402375,0.42720663746597687,0.0,24.315284729003906,2.694148063659668,0
2001,1,1,2,30,0,0,0,0,0,0,-11,15.052744542728647,1015.0623779296875,14.678299303316091,156.7763825027277,0.42925898482484914,0.0,35.0034065246582,2.3909268379211426,0
2001,1,1,3,30,0,0,0,0,0,0,-11,14.49042505331704,1014.5248413085938,15.331469018527505,143.1267842579577,0.42940248929901004,0.0,48.436588287353516,2.1604011058807373,0
2001,1,1,4,30,0,0,0,0,0,0,-11,13.978803478955967,1014.5375366210938,15.951351203186107,129.58999441918775,0.4317339237079552,0.0,63.33343505859375,1.9794107675552368,0
2001,1,1,5,30,0,0,0,0,0,0,-3,13.623127452770177,1009.6066284179688,30.416483229250908,116.25323068247167,0.78302915486846,0.0,24.80811309814453,3.256316900253296,0
2001,1,1,6,30,0,0,0,0,0,0,-3,13.174111222877173,1010.2263793945312,31.106270657001282,103.16557381346507,0.7459032371631868,0.0,30.09982681274414,3.0418059825897217,0
2001,1,1,7,30,0,0,0,1,0,1,-3,14.165678022787688,1011.181640625,28.939667670530163,90.48014776836204,0.7278153203513976,0.0,33.00959777832031,2.8313963413238525,0
2001,1,1,8,30,76,388,154,77,397,156,-3,17.41246436831665,1012.1303100585938,23.340527047859048,78.42737234447925,0.7324242966183306,0.0,33.24492645263672,2.3605754375457764,0
2001,1,1,9,30,120,632,364,120,632,364,-3,21.423464728956162,1012.6778564453125,18.08781886959599,67.34250164871182,0.7479245506855808,0.0,30.6156005859375,1.8006446361541748,0
2001,1,1,10,30,144,748,543,144,748,543,-3,26.02242232503852,1012.4312133789062,13.541860082015834,57.80450286716282,0.7638289099497675,0.0,15.453445434570312,2.43803334236145,0
2001,1,1,11,30,158,806,669,158,806,669,-4,27.85950376196422,1011.7646484375,11.96137742054468,50.70456801894678,0.7818886989016349,0.0,6.528228759765625,2.5399866104125977,0
2001,1,1,12,30,164,829,728,164,829,728,-4,28.674824659521448,1010.8624267578125,11.331987924034156,47.16394063862469,0.8012032217931829,0.0,1.0176315307617188,2.6570780277252197,0
2001,1,1,13,30,162,823,713,162,823,713,-4,28.70028609258378,1009.7440185546875,11.439498544498788,47.980226861231266,0.8209984540541696,0.0,357.52398681640625,2.8018288612365723,0
2001,1,1,14,30,154,787,628,154,787,628,-3,27.993142369045756,1009.3544311523438,12.267414975935575,52.95183093639312,0.8393926455647764,0.0,356.2291564941406,3.086787462234497,0
2001,1,1,15,30,136,710,480,136,710,480,-3,26.603846174617843,1009.1771850585938,13.983664843977087,61.06901424753141,0.8614054233347878,0.0,356.72674560546875,3.3898019790649414,0
2001,1,1,16,30,130,484,286,106,560,286,-2,24.61270231262921,1009.4490356445312,16.83677690146094,71.25953892134308,0.8918274073278856,0.0,358.8656921386719,3.590559482574463,0
2001,1,1,17,30,58,103,71,51,249,83,-1,21.710814161904295,1009.901611328125,21.45478078166726,82.75360950488621,0.9233687965242363,0.0,1.3464431762695312,3.5584988594055176,0
2001,1,1,18,30,0,0,0,0,0,0,0,20.181154137253486,1010.8878173828125,24.755409707504008,95.07328530203186,0.9462183910940895,0.0,3.980926513671875,3.8123908042907715,0
2001,1,1,19,30,0,0,0,0,0,0,0,19.252337806329592,1011.604736328125,26.98797618643094,107.92389334376811,0.9536346901319871,0.0,6.892204284667969,3.930241823196411,0
2001,1,1,20,30,0,0,0,0,0,0,0,18.393780981902694,1012.3358154296875,29.018497337957218,121.12555738438591,0.9472047172716778,0.0,8.99444580078125,3.946208953857422,0
2001,1,1,21,30,0,0,0,0,0,0,0,17.581141097030866,1012.515625,30.970543643994603,134.5609822688898,0.9390325056988176,0.0,11.296714782714844,3.927417039871216,0
2001,1,1,22,30,0,0,0,0,0,0,0,16.777852519171574,1012.2036743164062,33.05363045033714,148.14930646158976,0.9300157398586418,0.0,14.045135498046875,3.891329765319824,0
2001,1,1,23,30,0,0,0,0,0,0,0,15.976304998386581,1011.6085205078125,35.26599583374965,161.82767165093128,0.922791768246621,0.0,16.92133331298828,3.8092803955078125,0
2001,1,2,0,30,0,0,0,0,0,0,0,15.227829788577878,1011.3204956054688,37.65455953389102,175.48430465414071,0.9189341493153038,0.0,19.37779998779297,3.7333133220672607,0
2001,1,2,1,30,0,0,0,0,0,0,1,14.535832331608503,1011.3699951171875,40.068511425301054,170.59402431677785,0.9186774881104589,0.0,20.560592651367188,3.7043426036834717,0
2001,1,2,2,30,0,0,0,0,0,0,1,13.923357241658493,1011.5015258789062,42.41567136402129,156.89690156567502,0.9215308456119312,0.0,19.746536254882812,3.6808109283447266,0
2001,1,2,3,30,0,0,0,0,0,0,1,13.35356107278227,1011.7301635742188,44.69321674875904,143.24225980530997,0.9167335771561279,0.0,17.778335571289062,3.642585515975952,0
2001,1,2,4,30,0,0,0,0,0,0,1,12.843841999711003,1011.8832397460938,46.816249251236435,129.69852251537372,0.9052144899535121,0.0,16.034286499023438,3.58882212638855,0
2001,1,2,5,30,0,0,0,0,0,0,1,12.345336448455896,1012.6012573242188,48.94327210307156,116.33273824197448,0.8883487427710373,0.0,16.14306640625,3.5302717685699463,0
2001,1,2,6,30,0,0,0,0,0,0,2,11.88353152816211,1013.0394897460938,50.849532018362744,103.2362965686582,0.8717851681528226,0.0,17.520217895507812,3.4519896507263184,0
2001,1,2,7,30,0,0,0,1,0,1,2,12.753379504231873,1013.61328125,48.441874625867406,90.539509497737,0.8645649821524704,0.0,19.026283264160156,3.296126127243042,0
2001,1,2,8,30,75,387,153,76,391,154,2,15.69214456562446,1014.091552734375,40.10807406739664,78.47213724613903,0.8714820615305721,0.0,24.03838348388672,2.671670913696289,0
2001,1,2,9,30,119,625,360,119,625,360,2,20.165648996073912,1014.7205200195312,30.19654543413182,67.36743179680617,0.8926231293781219,0.0,31.36481475830078,2.5012919902801514,0
2001,1,2,10,30,144,741,539,144,741,539,1,24.08631911924317,1014.7894897460938,23.285159770988958,57.802563628743215,0.919049906230902,0.0,38.344635009765625,3.083341121673584,0
2001,1,2,11,30,158,799,664,158,799,664,1,26.052585581111146,1014.2386474609375,20.0162119402981,50.66786282414843,0.9441440845509071,0.0,41.51803970336914,2.859666109085083,0
2001,1,2,12,30,163,822,723,163,822,723,0,27.288027190180117,1012.9730834960938,18.00930976699591,47.08829965698532,0.9626275927851371,0.0,41.90717697143555,2.5701301097869873,0
2001,1,2,13,30,162,817,710,162,817,710,0,27.781407167299676,1012.2036743164062,16.91355228250004,47.87124021223371,0.9736262340770772,0.0,40.24673843383789,2.352766513824463,0
2001,1,2,14,30,153,782,626,153,782,626,0,27.481255507368758,1011.485107421875,16.912316653522364,52.822605105516374,0.9809925887419843,0.0,33.59926986694336,2.235652208328247,0
2001,1,2,15,30,136,706,479,136,706,479,0,26.348386682533885,1011.28076171875,18.00444048066011,60.931378371774635,0.9951650858858377,0.0,25.92913055419922,2.209559202194214,0
2001,1,2,16,30,106,558,287,106,558,287,0,24.42268652486638,1011.3162841796875,20.37425017220217,71.1204072522709,1.0092443930876576,0.0,17.53289794921875,2.24069881439209,0
2001,1,2,17,30,54,150,74,52,251,84,0,21.350054657004193,1011.7129516601562,25.193120297280803,82.61625345317698,1.02027885638907,0.0,2.4007110595703125,2.487590789794922,0
2001,1,2,18,30,0,0,0,0,0,0,0,20.086584119482836,1012.2151489257812,27.968937945844463,94.93904631462313,1.0253927615140073,0.0,354.7076110839844,3.0860888957977295,0
2001,1,2,19,30,0,0,0,0,0,0,1,19.31142776828824,1012.819580078125,30.106917842763554,107.79329307087896,1.0235200005062892,0.0,352.38775634765625,3.605025053024292,0
2001,1,2,20,30,0,0,0,0,0,0,1,18.565284949699276,1013.6309204101562,31.941063892525367,120.99871767792602,1.019343866277915,0.0,353.29638671875,3.896125555038452,0
2001,1,2,21,30,0,0,0,0,0,0,1,17.841304555492684,1014.0438232421875,33.64770894814681,134.4378215207505,1.0062803772223683,0.0,357.1794128417969,4.067741394042969,0
2001,1,2,22,30,0,0,0,0,0,0,1,17.088615804461824,1013.9024658203125,35.43455104735973,148.0295052809175,0.9877862756225926,0.0,2.3365325927734375,4.125346660614014,0
2001,1,2,23,30,0,0,0,0,0,0,1,16.317403796092265,1013.7438354492188,37.36887186059232,161.71008159795545,0.96677059116686,0.0,7.702789306640625,4.053272724151611,0
2001,1,3,0,30,0,0,0,0,0,0,1,15.564740901273865,1013.3117065429688,39.29015155843886,175.35825521641266,0.9445111197918794,0.0,14.033317565917969,3.939649820327759,0
2001,1,3,1,30,0,0,0,0,0,0,1,14.865028983570767,1012.939208984375,41.180195343201504,170.68629888504802,0.9224972384007292,0.0,21.286781311035156,3.824584722518921,0
2001,1,3,2,30,0,0,0,0,0,0,1,14.198883070473414,1012.6622314453125,43.003179236303126,156.9905863156048,0.9029547839907773,0.0,28.69012451171875,3.765763521194458,0
2001,1,3,3,30,0,0,0,0,0,0,1,13.573180990044818,1012.4982299804688,44.64214210266427,143.33173754307745,0.8847650643710904,0.0,34.57049560546875,3.726691484451294,0
2001,1,3,4,30,0,0,0,0,0,0,1,13.005287244238161,1012.754638671875,45.863056703342295,129.78207369931147,0.8643305178543277,0.0,38.91605758666992,3.683105707168579,0
2001,1,3,5,30,0,0,0,0,0,0,1,12.4661377256935,1013.1940307617188,47.03767562697346,116.40887458807626,0.8406219281033546,0.0,41.71254348754883,3.6177470684051514,0
2001,1,3,6,30,0,0,0,0,0,0,1,11.933879556900422,1013.9150390625,48.14573387894536,103.30319447619695,0.8220029097384652,0.0,41.8531379699707,3.454455852508545,0
2001,1,3,7,30,0,0,0,1,0,1,1,12.797695385727366,1014.6512451171875,45.07422012022255,90.5948419021866,0.8164369786752697,0.0,38.57024002075195,3.213043212890625,0
2001,1,3,8,30,75,386,152,76,391,154,1,15.77532764999637,1015.7457885742188,37.12203382074299,78.51193436272925,0.8236464806541344,0.0,34.04033279418945,2.560161590576172,0
2001,1,3,9,30,119,627,361,119,627,361,1,20.14402582491698,1016.7213745117188,28.20416724170265,67.38668377401027,0.837990585697371,0.0,28.691883087158203,2.15808367729187,0
2001,1,3,10,30,144,744,541,144,744,541,0,25.202534410803025,1016.7891845703125,19.14900814329318,57.79418848275887,0.8408481392367446,0.0,36.528987884521484,2.553668975830078,0
2001,1,3,11,30,158,804,668,158,804,668,-1,28.081188464953755,1015.637451171875,14.570210488026245,50.6240536591431,0.8292713128683558,0.0,41.67753982543945,2.572697162628174,0
2001,1,3,12,30,164,829,730,164,829,730,-1,29.23241150743553,1014.503173828125,13.073683961009916,47.005282146817976,0.8111711249828878,0.0,39.97358322143555,2.517120361328125,0
2001,1,3,13,30,163,825,718,163,825,718,-2,29.59870444985131,1013.5625610351562,12.369609941364168,47.75530116816633,0.7943098674509844,0.0,37.10946273803711,2.520279884338379,0
2001,1,3,14,30,155,791,634,155,791,634,-2,29.10076602956184,1012.7115478515625,12.432418425779568,52.68744985231684,0.7824144613257484,0.0,29.75,2.6911990642547607,0
2001,1,3,15,30,137,717,487,137,717,487,-2,27.80046822331451,1012.2915649414062,13.22670264705639,60.78902643010257,0.7706828116652957,0.0,24.60906219482422,3.0669608116149902,0
2001,1,3,16,30,132,489,292,108,570,294,-2,25.75645405909262,1012.0276489257812,15.005473379301733,70.9776743848204,0.7564513701166152,0.0,22.28924560546875,3.4507217407226562,0
2001,1,3,17,30,58,89,70,54,264,88,-2,22.49915729797175,1012.2816772460938,19.038802730306795,82.47623075118848,0.7457671076422926,0.0,17.17071533203125,3.7157936096191406,0
2001,1,3,18,30,0,0,0,0,0,0,-1,20.82955389935222,1012.9241333007812,22.243155129923416,94.80289184220517,0.7426289901021877,0.0,16.357337951660156,4.126493453979492,0
2001,1,3,19,30,0,0,0,0,0,0,0,19.698436449124245,1013.4637451171875,25.320226701529393,107.6613954597633,0.744158348208193,0.0,18.160362243652344,4.315624237060547,0
2001,1,3,20,30,0,0,0,0,0,0,0,18.69831985484899,1013.8599853515625,28.018682266663653,120.87108628870766,0.7458162606590273,0.0,22.621910095214844,4.33602237701416,0
2001,1,3,21,30,0,0,0,0,0,0,0,17.77362845555865,1014.0895385742188,30.30574998132231,134.31427490996157,0.7411427902785119,0.0,27.79568099975586,4.288292407989502,0
2001,1,3,22,30,0,0,0,0,0,0,0,16.927748662666033,1013.9098510742188,32.31185386371234,147.90960697198628,0.7348492984300075,0.0,31.905384063720703,4.18161678314209,0
2001,1,3,23,30,0,0,0,0,0,0,0,16.12047762892729,1013.615234375,34.16555162829357,161.59243912122614,0.7270374243973395,0.0,34.384674072265625,4.060149192810059,0
2001,1,4,0,30,0,0,0,0,0,0,0,15.349343381558356,1013.6306762695312,35.99067517025546,175.230628821864,0.7191886546162407,0.0,35.398719787597656,3.9419612884521484,0
2001,1,4,1,30,0,0,0,0,0,0,0,14.639964696791424,1013.5446166992188,37.69209804448742,170.77488206013027,0.7114524902187154,0.0,35.345855712890625,3.858240842819214,0
2001,1,4,2,30,0,0,0,0,0,0,0,13.989174875571337,1013.7040405273438,39.457105540100805,157.08151211964446,0.7033687871753025,0.0,35.47802734375,3.797358751296997,0
2001,1,4,3,30,0,0,0,0,0,0,0,13.379339644195056,1013.6005859375,41.2303472810728,143.41837353384727,0.6931246376727431,0.0,36.10198974609375,3.7617881298065186,0
2001,1,4,4,30,0,0,0,0,0,0,0,12.801941267033783,1013.5885620117188,43.16908886026405,129.86251053272483,0.6825279681446473,0.0,37.9892692565918,3.7198681831359863,0
2001,1,4,5,30,0,0,0,0,0,0,0,12.252847855517643,1014.0147705078125,45.0510834950887,116.48153292996285,0.6716283285304366,0.0,41.566158294677734,3.660780191421509,0
2001,1,4,6,30,0,0,0,0,0,0,0,11.738752532162039,1014.6943359375,46.92235884154062,103.36617745717221,0.659826121455799,0.0,46.09632110595703,3.5594823360443115,0
2001,1,4,7,30,0,0,0,1,0,1,0,12.648420934055878,1015.5355224609375,44.459213726586874,90.6459829754187,0.6488388961197855,0.0,51.04215621948242,3.3855254650115967,0
2001,1,4,8,30,85,172,120,76,398,155,0,15.687250363108319,1016.227783203125,36.44836441713959,78.54670477282134,0.6393814376422171,0.0,55.636138916015625,2.8213906288146973,0
2001,1,4,9,30,178,139,232,120,637,365,0,20.135460493602295,1016.5138549804688,27.428099922568457,67.40022307025932,0.632916526591411,0.0,58.3365478515625,2.375239610671997,0
2001,1,4,10,30,185,649,532,145,755,548,0,25.242385115546767,1016.3910522460938,18.313569469596573,57.779363069038155,0.6269290257513278,0.0,67.85585021972656,2.8651883602142334,0
2001,1,4,11,30,137,815,655,159,815,677,-1,27.7724490148143,1015.8204345703125,14.243004158108311,50.57314703816819,0.6267449218209009,0.0,71.42906188964844,2.518902540206909,0
2001,1,4,12,30,143,833,713,165,838,738,-3,29.223718016497457,1014.8321533203125,11.994869321957713,46.91491600501243,0.6310606221508953,0.0,66.80138397216797,2.2651350498199463,0
2001,1,4,13,30,140,834,703,164,834,726,-4,29.750210605641826,1013.624267578125,10.75649249476249,47.63246072903356,0.630005824798233,0.0,57.150638580322266,2.342855453491211,0
2001,1,4,14,30,156,800,643,156,800,643,-5,29.367446437779336,1012.6340942382812,10.300662537537399,52.54644111565901,0.6263008706860647,0.0,49.438934326171875,2.58373761177063,0
2001,1,4,15,30,138,727,495,138,727,495,-5,28.238457589281325,1012.4802856445312,10.515920869526592,60.64205316100404,0.6117521946548585,0.0,45.09370803833008,2.7994327545166016,0
2001,1,4,16,30,109,581,300,109,581,300,-5,26.188737677709128,1012.390625,11.689314185492035,70.831443770221,0.5993246704431113,0.0,40.57541275024414,2.8898754119873047,0
2001,1,4,17,30,57,220,87,55,275,92,-5,22.60357751950926,1012.809814453125,14.711888266594112,82.33364059423329,0.5890681443219677,0.0,32.913204193115234,3.0635221004486084,0
2001,1,4,18,30,0,0,0,0,0,0,-5,21.12515820652078,1013.1864013671875,16.384451886855185,94.6649297934657,0.5810048675554067,0.0,32.09156799316406,3.478616714477539,0
2001,1,4,19,30,0,0,0,0,0,0,-5,20.08005300496268,1013.8245239257812,17.874589443943105,107.52830248449393,0.5722501865519378,0.0,35.12038040161133,3.7529478073120117,0
2001,1,4,20,30,0,0,0,0,0,0,-4,19.014511040285754,1014.1485595703125,19.57560293253218,120.74275587473306,0.5609228095125302,0.0,39.77227783203125,3.9103636741638184,0
2001,1,4,21,30,0,0,0,0,0,0,-4,18.00016641980693,1014.40185546875,21.39547070407603,134.19042132703672,0.5610160425998115,0.0,45.852237701416016,3.967552661895752,0
2001,1,4,22,30,0,0,0,0,0,0,-4,17.05186223561168,1014.081787109375,23.173759421789796,147.78966830944594,0.5589226479875086,0.0,52.599456787109375,3.9924066066741943,0
2001,1,4,23,30,0,0,0,0,0,0,-3,16.16176868850289,1013.6820678710938,25.037459746084696,161.47475595132317,0.5556575437095934,0.0,58.97406005859375,4.009767532348633,0
2001,1,5,0,30,0,0,0,0,0,0,-3,15.322545525379667,1013.445068359375,26.99987901586581,175.10128686106927,0.5533294570515433,0.0,64.79501342773438,3.9955830574035645,0
2001,1,5,1,30,0,0,0,0,0,0,-3,14.517439459479021,1012.9932861328125,29.302600307306342,170.85937947708953,0.5536743577166637,0.0,70.17794799804688,3.9309630393981934,0
2001,1,5,2,30,0,0,0,0,0,0,-2,13.766029160355231,1012.8840942382812,32.34963053957329,157.16947976312287,0.556211629283137,0.0,75.42262268066406,3.8186733722686768,0
2001,1,5,3,30,0,0,0,0,0,0,-1,13.029284024575873,1012.505859375,35.75973998083069,143.50201697801756,0.5562856866201059,0.0,79.48397064208984,3.6504108905792236,0
2001,1,5,4,30,0,0,0,0,0,0,-1,12.353020930902005,1012.3319091796875,39.02966444045054,129.93970831615093,0.5570642632507442,0.0,82.01481628417969,3.4595632553100586,0
2001,1,5,5,30,0,0,0,0,0,0,0,11.762044007685745,1012.6842041015625,41.68635334689351,116.5506080418873,0.5596665828641832,0.0,82.47125244140625,3.2524943351745605,0
2001,1,5,6,30,0,0,0,0,0,0,0,11.236496771969428,1013.4219970703125,43.71993901163083,103.42515778746017,0.5632012379965688,0.0,80.01207733154297,2.9978115558624268,0
2001,1,5,7,30,0,0,0,1,0,1,0,12.286714831611278,1013.9985961914062,40.958348301578056,90.69254261716789,0.5692208385901316,0.0,75.1520004272461,2.7956886291503906,0
2001,1,5,8,30,74,384,151,76,401,156,0,15.47836647005181,1014.6858520507812,33.264452508434026,78.57639820414754,0.5744181967639286,0.0,70.50032043457031,2.3569326400756836,0
2001,1,5,9,30,120,640,366,120,640,366,0,19.894550781942144,1015.1434326171875,24.997653631551394,67.40801888914785,0.5808424571865517,0.0,64.53878784179688,1.9053940773010254,0
2001,1,5,10,30,138,713,519,145,757,550,-1,25.25404327576763,1015.2759399414062,16.77822934528055,57.758080017007785,0.58884856441679,0.0,64.36308288574219,1.907972812652588,0
2001,1,5,11,30,179,704,627,159,817,679,-2,28.294439039446786,1014.296630859375,12.833722261521102,50.51515866475297,0.5949750162242893,0.0,58.46827697753906,1.7915427684783936,0
2001,1,5,12,30,163,804,714,165,841,741,-3,29.58140897974988,1012.877685546875,11.279932622447157,46.81723628299151,0.5983075890365028,0.0,46.20054626464844,1.7857638597488403,0
